claim_id,kind,file,line,assertion
C-201,other,JUDGE-GUIDE.md,5,"If you only have sixty seconds, do step 2 and step 4."
C-202,chain,JUDGE-GUIDE.md,52,It refuses to start on anything except chain 1952 and names 195 as the deprecated testnet.
C-203,version,JUDGE-GUIDE.md,65,"Read that count with the correction it needs, because the earlier version of this sentence said it meant ""the engine wanted to trade larger and was refused"", and that is not what those 40 rows show."
C-204,other,JUDGE-GUIDE.md,65,Every one of them carries a notional around 3e30 against a 25e6 limit: the candidates were 1e12 times too large because the recorded run predates the wei-to-micro conversion now at `crates/market-intel/src/lib.rs:95-110`.
C-205,other,JUDGE-GUIDE.md,76,"Full finding, including why a fix that does not regenerate its artifacts leaves the artifacts asserting the bug: [evidence/phase4/journal-provenance.md](evidence/phase4/journal-provenance.md) `[C-121]`."
C-206,other,JUDGE-GUIDE.md,87,"oracle diverged 1000 bps, REFUSED(OracleMarketDivergence)"
C-207,other,JUDGE-GUIDE.md,96,It removes each refusal in turn and confirms the tests go RED. 18 of 18 RED means no refusal is decorative.
C-208,other,JUDGE-GUIDE.md,106,"On its first run it generated 107 viable mutants of the risk engine and **37 survived**: no limit boundary was pinned anywhere, and the post-trade projection was never tested against a book that already held exposure."
C-209,other,JUDGE-GUIDE.md,106,"Both survivor lists, before and after, are in the evidence `[C-230]` `[C-231]`."
C-210,other,JUDGE-GUIDE.md,146,"Each is a multi-leg atomic batch through `BatchExecutor`: the risk guard leg runs first, so a cap breach or a halt reverts the whole batch before any token moves."
C-211,other,JUDGE-GUIDE.md,150,"Full context, including how the agent adapted as its own fills moved the book (imbalance 3750 to 5172 to 6296 bps, a different order and size each cycle), is in [evidence/gates/phase-4.md](evidence/gates/phase-4.md)."
C-212,other,JUDGE-GUIDE.md,165,"Every panel reports ""not readable"" or ""runtime has not run"", with red borders, and the numbers read 0 and n/a."
C-213,other,JUDGE-GUIDE.md,180,"**The agent cannot bypass the risk gate.** Signing requires a `RiskApproved<OrderIntent>`, whose only constructor is inside the risk engine."
C-214,testing,JUDGE-GUIDE.md,180,"Attempting to forge one does not fail a test, it fails to compile: [evidence/bypass-compile-error.txt](evidence/bypass-compile-error.txt)."
C-215,other,JUDGE-GUIDE.md,185,**Learning cannot widen a risk limit.** `Learner` has no type in its API that mentions `Limits`.
C-216,formal,JUDGE-GUIDE.md,188,"**The limits are proven, not sampled.** 14 Halmos theorems across the base guard and the RWA guard, each proven for all inputs in range."
C-217,other,JUDGE-GUIDE.md,202,"**Exchange OS integration is not demonstrated.** It has no developer surface on X Layer testnet, established by four primary probes."
C-218,other,JUDGE-GUIDE.md,204,**The venue and the RWA instrument are self-deployed** and labelled as such everywhere.
C-219,other,JUDGE-GUIDE.md,219,"Answer: [docs/mainnet-path.md](docs/mainnet-path.md), and the venue interface is two calls wide."
C-220,other,JUDGE-GUIDE.md,221,Point out the venue is self-dealing.
C-221,chain,README.md,5,"It reads a real order book over JSON-RPC, forms a thesis from measured signals, scores a generated candidate set, puts every candidate through a risk gate the agent cannot bypass, submits multi-leg transactions atomically, and learns from realized outcomes."
